lecture,semester,nGrades,"1,00","1,30","1,70","2,00","2,30","2,70","3,00","3,30","3,70","4,00","5,00",mean_value,standard_deviation
Grundlagen der Informatik,2019.5,87,3,4,4,4,5,7,7,4,5,6,38,3.68,1.35
Theoretische Informatik,2019.5,55,2,0,3,1,5,5,4,2,2,4,27,3.84,1.29
Mathematik I,2019.5,223,12,13,9,14,15,16,28,22,16,25,53,3.28,1.26
Mathematik II,2019.5,80,1,2,2,1,0,4,2,5,8,13,42,4.17,1.06
Programmieren I (Klausur),2019.5,222,14,31,20,21,16,20,20,9,5,9,57,2.93,1.42
Programmieren II (Klausur),2020.0,142,23,14,9,14,17,7,15,13,16,14,0,2.43,1.02
Software Engineering,2020.0,82,46,10,6,0,16,0,0,4,0,0,0,1.45,0.66
Grundlagen der Betriebswirtschaftslehre,2019.5,78,1,0,1,2,15,4,6,7,4,17,21,3.6,1.08
Englisch (1),2019.5,118,41,0,0,42,0,0,8,0,0,3,24,2.38,1.48
Englisch 2,2020.0,76,40,0,0,26,0,0,9,0,0,1,0,1.62,0.74
Mathematik III (Statistik),2020.0,99,7,4,13,14,10,11,10,9,7,14,0,2.59,0.92
Kryptographie und Informationssicherheit,2020.5,79,15,10,8,14,9,6,3,5,4,5,0,2.11,0.92
Interaktive Systeme,2020.5,80,20,15,17,6,7,8,1,1,2,3,0,1.8,0.79
Web-Programmierung,2020.0,83,2,2,11,11,13,3,11,10,9,11,0,2.73,0.85
Softwarearchitektur,2022.5,60,3,5,3,4,1,6,4,13,6,2,13,3.19,1.24
Betriebssysteme,2021.0,70,7,1,5,5,6,11,13,11,5,6,0,2.69,0.85
Rechnersysteme,2020.5,62,14,8,8,1,7,3,4,5,4,8,0,2.25,1.09
Rechnerkommunikation und -netze,2020.5,70,14,8,10,8,7,7,2,4,5,5,0,2.14,0.96
Grundlagen des maschinellen Lernens,2021.0,50,2,4,3,5,7,3,3,6,8,8,1,2.84,0.98
Text Analytics,2023.0,29,2,10,5,8,2,2,0,0,0,0,0,1.71,0.46
Spieltheorie,2022.5,23,8,3,1,2,1,2,0,3,2,0,1,2.07,1.15
Einführung in die funktionale Programmierung,2020.5,20,20,0,0,0,0,0,0,0,0,0,0,1.0,0.0
Projektmanagement,2021.5,135,4,8,14,13,21,15,20,12,15,13,0,2.67,0.84
