lecture,semester,nGrades,exam_nr,passed,not_passed
"Programmieren I, Praktikum",2019.5,238,1311,220,18
"Programmieren II, Praktikum",2020.0,185,1321,185,0
"Software Engineering, Praktikum",2020.0,78,1501,78,0
"Interaktive Systeme, Praktikum",2020.5,85,4301,85,0
Web-Programmierung / Praktikum,2020.0,84,4701,84,0
Rechnerkommunikation und -netze / Praktikum,2020.5,82,5801,82,0
Praxisseminar,2021.5,134,3200,134,0
"Programmieren I, Praktikum",2019.5,238,1311,220,18
"Programmieren II, Praktikum",2020.0,185,1321,185,0
"Software Engineering, Praktikum",2020.0,78,1501,78,0
"Interaktive Systeme, Praktikum",2020.5,85,4301,85,0
Web-Programmierung / Praktikum,2020.0,84,4701,84,0
Rechnerkommunikation und -netze / Praktikum,2020.5,82,5801,82,0
"Programmieren I, Praktikum",2019.5,238,1311,220,18
"Programmieren II, Praktikum",2020.0,185,1321,185,0
"Software Engineering, Praktikum",2020.0,78,1501,78,0
"Interaktive Systeme, Praktikum",2020.5,85,4301,85,0
Web-Programmierung / Praktikum,2020.0,84,4701,84,0
Rechnerkommunikation und -netze / Praktikum,2020.5,82,5801,82,0
Praxisseminar,2021.5,134,3200,134,0
